,Average of Overall,Max of Overall,Average of Potential,Average of Value,Count of Name,Average of International Reputation,Average of Age
Argentina,68.57203842,94,73.21024546,3077011.74,937,1.133547009,26.20597652
Belgium,68.81153846,91,74.38846154,4699673.077,260,1.22007722,24.33461538
Brazil,71.25151149,92,73.35187424,4602629.988,827,1.163636364,27.62515115
Chile,64.99232737,85,70.68542199,1343171.355,391,1.082474227,25.0741688
Colombia,65.57605178,88,71.0420712,1785946.602,618,1.053571429,25.24110032
Croatia,69.56349206,91,74.49206349,5223849.206,126,1.277777778,24.88095238
Denmark,63.7172619,88,70.05059524,1787351.19,336,1.068656716,24.14583333
England,63.42960289,89,70.03730445,1498745.487,1662,1.065178033,24.03008424
France,67.79868709,89,73.44748359,3679819.475,914,1.20636663,24.61597374
Germany,66.08681135,90,71.69949917,2529307.179,1198,1.138912134,24.33806344
Italy,68.15811966,89,72.69088319,3047571.225,702,1.207439199,25.92877493
Mexico,65.41803279,82,71.50819672,1684289.617,366,1.095890411,24.31967213
Netherlands,67.65342163,86,73.02428256,2870154.525,453,1.150442478,24
Peru,70.21621622,79,73.64864865,2568243.243,37,1.135135135,25.86486486
Poland,63.22857143,90,68.82,1340771.429,350,1.083333333,24.56
Portugal,71.3447205,94,75.29813665,5063664.596,322,1.226708075,25.76086957
Spain,69.69869403,91,74.61660448,4390718.284,1072,1.180205415,25.3255597
Sweden,63.62216625,85,68.9395466,1137481.108,397,1.055555556,24.83879093
Switzerland,65.47727273,83,71.98181818,2119545.455,220,1.177272727,24.64090909
Uruguay,70.4295302,91,73.38255034,4811073.826,149,1.181208054,26.61073826
Wales,64.13953488,88,69.96899225,1755542.636,129,1.093023256,24.73643411
