Nationality,Overall,Potential,Value,International Reputation,Age
Argentina,94,94,1.11E+08,5,31
Portugal,94,94,7.70E+07,5,33
Brazil,92,93,1.19E+08,5,26
Spain,91,93,7.20E+07,4,27
Belgium,91,92,1.02E+08,4,27
Belgium,91,91,9.30E+07,4,27
Croatia,91,91,6.70E+07,4,32
Uruguay,91,91,8.00E+07,5,31
Spain,91,91,5.10E+07,4,32
Poland,90,90,7.70E+07,4,29
Germany,90,90,7.65E+07,4,28
Uruguay,90,90,4.40E+07,3,32
Spain,90,90,6.00E+07,4,32
France,89,90,6.30E+07,3,27
Argentina,89,94,8.90E+07,3,24
England,89,91,8.35E+07,3,24
France,89,90,7.80E+07,4,27
Germany,89,92,5.80E+07,3,26
Belgium,89,90,5.35E+07,4,26
Spain,89,89,5.15E+07,4,29
Uruguay,89,89,6.00E+07,4,31
Germany,89,89,3.80E+07,5,32
Argentina,89,89,6.45E+07,4,30
Italy,89,89,2.70E+07,4,33
France,88,95,8.10E+07,3,19
Brazil,88,90,5.95E+07,3,26
Colombia,88,89,6.95E+07,4,26
Italy,88,88,6.20E+07,3,27
Spain,88,91,7.35E+07,3,26
Denmark,88,91,7.35E+07,3,26
Brazil,88,89,6.95E+07,3,26
Germany,88,88,4.60E+07,4,29
Brazil,88,88,4.30E+07,4,30
Wales,88,88,6.00E+07,4,28
France,88,88,3.60E+07,4,31
Argentina,88,88,5.70E+07,4,30
Brazil,88,88,2.40E+07,4,33
Italy,88,88,4000000,4,40
France,87,92,5.70E+07,3,24
Argentina,87,90,6.45E+07,3,25
France,87,91,6.40E+07,4,25
Belgium,87,89,6.25E+07,3,25
Italy,87,87,5.20E+07,3,28
Spain,87,87,3.80E+07,3,29
Belgium,87,87,4.50E+07,3,31
Belgium,87,87,3.40E+07,3,31
Croatia,87,87,4.65E+07,4,30
Spain,87,87,3.40E+07,4,31
Germany,86,92,6.10E+07,2,22
Portugal,86,91,5.95E+07,2,23
Brazil,86,90,4.15E+07,2,24
Netherlands,86,88,4.45E+07,3,26
England,86,89,5.65E+07,3,23
Brazil,86,87,5.30E+07,3,26
France,86,91,5.00E+07,3,25
Italy,86,89,5.50E+07,3,25
Brazil,86,86,3.65E+07,3,27
Brazil,86,86,4.65E+07,3,27
Germany,86,86,4.50E+07,4,28
Spain,86,86,4.55E+07,3,27
Germany,86,86,4.35E+07,4,29
Spain,86,86,3.50E+07,3,28
Italy,86,86,3.00E+07,3,31
Belgium,86,87,3.90E+07,3,29
Germany,86,86,4.35E+07,4,29
Brazil,86,86,1.80E+07,3,33
Spain,86,86,2.15E+07,4,34
Spain,85,92,5.40E+07,3,22
France,85,89,5.00E+07,3,24
Brazil,85,90,3.65E+07,3,25
Germany,85,88,4.05E+07,3,23
Spain,85,90,5.05E+07,3,23
Spain,85,86,4.50E+07,3,26
France,85,86,4.50E+07,3,27
Argentina,85,85,2.85E+07,3,30
Spain,85,85,3.70E+07,2,29
Brazil,85,85,3.70E+07,3,29
Poland,85,87,3.20E+07,3,28
Chile,85,85,3.75E+07,4,29
Germany,85,85,3.00E+07,4,29
Chile,85,85,2.60E+07,4,31
Croatia,85,85,3.75E+07,3,29
Germany,85,85,3.30E+07,3,31
Spain,85,85,3.85E+07,4,29
Belgium,85,85,3.55E+07,3,30
Brazil,85,85,9000000,3,35
France,85,85,2.60E+07,3,31
Brazil,85,85,1.55E+07,3,33
France,85,85,3.70E+07,4,30
Brazil,85,85,2.15E+07,3,32
Belgium,85,85,2.20E+07,4,32
Portugal,85,85,9000000,4,35
Sweden,85,85,1.40E+07,5,36
Colombia,84,88,3.40E+07,2,22
Uruguay,84,88,3.40E+07,2,23
Brazil,84,87,3.20E+07,3,25
France,84,88,3.40E+07,2,24
Portugal,84,88,4.05E+07,2,23
Germany,84,90,3.65E+07,2,22
France,84,90,4.25E+07,3,22
England,84,90,4.25E+07,3,22
Brazil,84,88,3.40E+07,3,24
Brazil,84,89,3.55E+07,3,24
Portugal,84,86,3.15E+07,3,26
Italy,84,87,3.80E+07,2,26
France,84,87,3.90E+07,2,25
Spain,84,87,3.15E+07,3,26
Netherlands,84,89,4.20E+07,3,24
Portugal,84,86,2.50E+07,2,27
Netherlands,84,86,3.15E+07,3,26
Italy,84,89,2.95E+07,2,25
Colombia,84,84,2.95E+07,3,30
Spain,84,84,3.00E+07,2,30
Germany,84,87,2.70E+07,3,26
Spain,84,84,3.10E+07,2,28
England,84,84,2.45E+07,3,28
